year_start,year_end,total_senate,dem_senate,gop_senate,other_senate,vacant_senate,total_house,dem_house,gop_house,other_house,vacant_house
1913,1915,96,51,44,1,,435,290,127,18,
1915,1917,96,56,39,1,,435,231,193,8,3
1917,1919,96,53,42,1,,435,210,216,9,
1919,1921,96,47,48,1,,435,191,237,7,
1921,1923,96,37,59,,,435,132,300,1,2
1923,1925,96,43,51,2,,435,207,225,3,
1925,1927,96,40,54,1,1,435,183,247,5,
1927,1929,96,47,48,1,,435,195,237,3,
1929,1931,96,39,56,1,,435,163,267,1,4
1931,1933,96,47,48,1,,435,217,217,1,
1933,1935,96,59,36,1,,435,313,117,5,
1935,1937,96,69,25,2,,435,322,103,10,
1937,1939,96,75,17,4,,435,333,89,13,
1939,1941,96,69,23,4,,435,262,169,4,
1941,1943,96,66,28,2,,435,267,162,6,
1943,1945,96,57,38,1,,435,222,209,4,
1945,1947,96,57,38,1,,435,243,190,2,
1947,1949,96,45,51,,,435,188,246,1,
1949,1951,96,54,42,,,435,263,171,1,
1951,1953,96,48,47,1,,435,234,199,2,
1953,1955,96,46,48,2,,435,213,221,1,
1955,1957,96,48,47,1,,435,232,203,,
1957,1959,96,49,47,,,435,234,201,,
1959,1961,98,64,34,,,437,283,153,1,
1961,1963,100,64,36,,,437,262,175,,
1963,1965,100,67,33,,,435,258,176,,1
1965,1967,100,68,32,,,435,295,140,,
1967,1969,100,64,36,,,435,247,187,,1
1969,1971,100,58,42,,,435,243,192,,
1971,1973,100,54,44,2,,435,255,180,,
1973,1975,100,56,42,2,,435,242,192,1,
1975,1977,100,61,37,2,,435,291,144,,
1977,1979,100,61,38,1,,435,292,143,,
1979,1981,100,58,41,1,,435,277,158,,
1981,1983,100,46,53,1,,435,242,192,1,
1983,1985,100,46,54,,,435,269,166,,
1985,1987,100,47,53,,,435,253,182,,
1987,1989,100,55,45,,,435,258,177,,
1989,1991,100,55,45,,,435,260,175,,
1991,1993,100,56,44,,,435,267,167,1,
1993,1995,100,57,43,,,435,258,176,1,
1995,1997,100,47,53,,,435,204,230,1,
1997,1999,100,45,55,,,435,206,227,2,
1999,2001,100,45,55,,,435,211,223,1,
2001,2003,100,50,50,0,,435,212,221,2,
2003,2005,100,48,51,1,,435,205,229,1,
2005,2007,100,44,55,1,,435,202,232,1,
2007,2009,100,49,49,2,,435,233,202,,
2009,2011,100,56,41,2,1,435,257,178,,
2011,2013,100,51,47,2,,435,193,242,,
2013,2015,100,53,45,2,,435,201,234,,
2015,2017,100,44,54,2,,435,188,247,,
2017,2019,100,46,52,2,,435,194,241,,
2019,2021,100,45,53,2,,435,235,198,,2
