Player,Pos,School,Ht,Wt,Dash40,Vertical,Bench,Broad Jump,Cone3,Shuttle,Team,Round,Pick
Dante Pettis,WR,Washington,73.00,186,,,,,,,San Francisco 49ers ,2,44
Kemoko Turay,EDGE,Rutgers,77.00,253,4.65,,,,,,Indianapolis Colts ,2,52
Josh Adams,RB,Notre Dame,74.00,213,,,18,,,,NA,0,0
Ola Adeniyi,EDGE,Toledo,74.00,248,4.83,31.5,26,,7.21,4.28,NA,0,0
Jordan Akins,TE,Central Florida,75.00,249,,,,,,,Houston Texans ,3,98
Jaire Alexander,CB,Louisville,71.00,192,4.38,35,14,127,6.71,3.98,Green Bay Packers ,1,18
Austin Allen,QB,Arkansas,73.00,210,4.81,29.5,,112,7.18,4.48,NA,0,0
Brian Allen,C,Michigan St.,73.00,298,5.34,26.5,27,99,7.81,4.71,Los Angeles Rams ,4,111
Josh Allen,QB,Wyoming,77.00,237,4.75,33.5,,119,6.9,4.4,Buffalo Bills ,1,7
Marcus Allen,S,Penn St.,74.00,202,,37,15,127,,4.32,NA,0,0
Mark Andrews,TE,Oklahoma,77.00,256,4.67,31,17,113,7.34,4.38,Baltimore Ravens ,3,86
Troy Apke,S,Penn St.,74.00,198,4.34,41,16,131,6.56,4.03,NA,0,0
Dorance Armstrong,EDGE,Kansas,76.00,257,4.87,30,20,118,7.12,4.23,NA,0,0
Ade Aruna,DE,Tulane,78.00,262,4.6,38.5,18,128,7.53,4.48,Minnesota Vikings ,6,218
Marcell Ateman,WR,Oklahoma St.,76.00,216,4.62,34,13,121,7.07,4.25,Oakland Raiders ,7,228
John Atkins,DT,Georgia,76.00,321,5.38,24,,89,7.95,4.75,NA,0,0
Anthony Averett,CB,Alabama,73.00,185,4.36,31.5,13,119,6.93,4.4,Baltimore Ravens ,4,118
Genard Avery,ILB,Memphis,73.00,248,4.59,36,26,124,6.9,4.36,NA,0,0
Mike Badgley,K,Miami,70.00,183,4.94,,,111,,,NA,0,0
Jerome Baker,OLB,Ohio St.,73.00,229,4.53,36.5,22,126,,,Miami Dolphins ,3,73
Kalen Ballage,RB,Arizona State,73.00,228,4.46,33.5,15,122,6.91,4.35,Miami Dolphins ,4,131
Saquon Barkley,RB,Penn St.,73.00,233,4.4,41,29,,,4.24,New York Giants ,1,2
J.T. Barrett,QB,Ohio St.,73.00,224,4.7,30,,108,7.38,4.44,NA,0,0
Jessie Bates,S,Wake Forest,74.00,195,4.5,35.5,,117,6.78,4.26,NA,0,0
Marcus Baugh,TE,Ohio St.,75.00,247,4.81,33,,117,7.28,4.51,NA,0,0
Nick Bawden,FB,San Diego St.,74.00,245,,,,,,,NA,0,0
Davin Bellamy,EDGE,Georgia,77.00,255,,,15,,,,NA,0,0
Kurt Benkert,QB,Virginia,75.00,218,4.95,31,16,112,7.15,4.33,NA,0,0
Braxton Berrios,WR,Miami,69.00,184,,,11,,,,New England Patriots ,6,210
Keishawn Bierria,ILB,Washington,74.00,230,4.79,30.5,21,117,7.26,,Denver Broncos ,6,217
Quin Blanding,S,Virginia,74.00,215,4.63,31.5,,122,,,NA,0,0
David Bright,OT,Stanford,77.00,307,,,,,,,NA,0,0
Andrew Brown,DE,Virginia,76.00,296,5.03,28,31,101,7.51,4.48,Cincinnati Bengals ,5,158
Drew Brown,K,Nebraska,70.00,208,,,,,,,NA,0,0
Orlando Brown,OT,Oklahoma,80.00,345,5.85,19.5,14,82,7.87,5.38,Baltimore Ravens ,3,83
Tony Brown,CB,Alabama,73.00,198,4.35,31.5,14,126,6.78,4.11,NA,0,0
Equanimeous St. brown,WR,Notre Dame,77.00,214,4.48,,20,,,,Green Bay Packers ,6,207
Taven Bryan,DT,Florida,76.00,291,4.98,35,30,119,7.12,4.48,Jacksonville Jaguars ,1,29
Oren Burks,OLB,Vanderbilt,75.00,233,4.59,39.5,18,131,6.82,4.15,Green Bay Packers ,3,88
Deontay Burnett,WR,USC,73.00,186,,,,,,,NA,0,0
Jason Cabinda,ILB,Penn St.,73.00,239,,,19,,,,NA,0,0
Deon Cain,WR,Clemson,74.00,202,4.43,33.5,11,115,6.71,4.37,Indianapolis Colts ,6,185
Antonio Callaway,WR,Florida,71.00,200,4.41,34,,121,,,Cleveland Browns ,4,105
Chris Campbell,CB,Penn St.,73.00,194,,,14,,,,NA,0,0
Dylan Cantrell,WR,Texas Tech,75.00,226,4.59,38.5,18,130,6.56,4.03,Los Angeles Chargers ,6,191
Alex Cappa,OT,Humboldt St.,78.00,305,5.39,26.5,24,97,8.04,4.84,NA,0,0
Tanner Carew,LS,Oregon,73.00,243,5,30,18,111,7.26,4.28,NA,0,0
